stair.thisTrialN,stair.stepSize,stair.intensity,thisRow.t,notes,trial.started,fixation.started,grating.started,key_resp.started,fixation.stopped,grating.stopped,trial.stopped,corrAns,tilt,key_resp.corr,stair.response,key_resp.rt,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
65,0.5,5.0,65.31257079201168,,65.30424050000147,65.31257079201168,65.8020930000057,65.8020930000057,65.8064248340088,66.0896358750033,66.32049441701383,right,5.0,1,1,0.5122722490050364,769539,001,2025-09-04_09h28.35.174,bhakti_apdaptive staircase,,2025.1.1,None,2025-09-04 09h28.38.310489 +0530,
66,0.5,5.0,66.32950112500112,,66.32090545901156,66.32950112500112,66.81887287501013,66.81887287501013,66.82335762500588,67.10553241700109,67.27048654200917,right,5.0,1,1,0.44458733301144093,769539,001,2025-09-04_09h28.35.174,bhakti_apdaptive staircase,,2025.1.1,None,2025-09-04 09h28.38.310489 +0530,
67,0.5,5.0,67.27890270900389,,67.27087270900665,67.27890270900389,67.76881925000635,67.76881925000635,67.77271079200727,68.05638233400532,68.23691862499982,left,-5.0,1,1,0.45645058300578967,769539,001,2025-09-04_09h28.35.174,bhakti_apdaptive staircase,,2025.1.1,None,2025-09-04 09h28.38.310489 +0530,
68,0.5,4.5,68.24509650000255,,68.23726087500108,68.24509650000255,68.7355129589996,68.7355129589996,68.7395967090124,69.02231475000735,69.27394041701336,left,-4.5,1,1,0.5358089579967782,769539,001,2025-09-04_09h28.35.174,bhakti_apdaptive staircase,,2025.1.1,None,2025-09-04 09h28.38.310489 +0530,
69,0.5,4.5,69.28550700000778,,69.2742065420025,69.28550700000778,69.76883716700831,69.76883716700831,69.77315175000695,70.0555468340026,70.32046541701129,left,-4.5,1,1,0.5373732080042828,769539,001,2025-09-04_09h28.35.174,bhakti_apdaptive staircase,,2025.1.1,None,2025-09-04 09h28.38.310489 +0530,
70,0.5,4.5,70.328573375009,,70.32084170900634,70.328573375009,70.81879737500276,70.81879737500276,70.82309808400169,71.10600075000548,71.27425158400729,right,4.5,0,0,0.45354829099960625,769539,001,2025-09-04_09h28.35.174,bhakti_apdaptive staircase,,2025.1.1,None,2025-09-04 09h28.38.310489 +0530,
71,0.5,5.0,71.28570662499988,,71.27452262501174,71.28570662499988,71.77571929201076,71.77571929201076,71.77571929201076,72.07311479200143,72.25747812500049,right,5.0,1,1,0.47944916599954013,769539,001,2025-09-04_09h28.35.174,bhakti_apdaptive staircase,,2025.1.1,None,2025-09-04 09h28.38.310489 +0530,
72,0.5,5.0,72.26892570900964,,72.25773712500813,72.26892570900964,72.75827637501061,72.75827637501061,72.75827637501061,73.0553507500008,73.30360529200698,right,5.0,1,1,0.5400985000014771,769539,001,2025-09-04_09h28.35.174,bhakti_apdaptive staircase,,2025.1.1,None,2025-09-04 09h28.38.310489 +0530,
73,0.5,5.0,73.31137783400482,,73.30390108400024,73.31137783400482,73.80227150001156,73.80227150001156,73.80629900000349,74.0886869590031,74.28714920900529,left,-5.0,1,1,0.4799250829964876,769539,001,2025-09-04_09h28.35.174,bhakti_apdaptive staircase,,2025.1.1,None,2025-09-04 09h28.38.310489 +0530,
74,0.5,4.5,74.29486695901142,,74.28753591701388,74.29486695901142,74.7855650420097,74.7855650420097,74.79021920901141,75.07200079200265,75.32045591701171,right,4.5,1,1,0.5277281659946311,769539,001,2025-09-04_09h28.35.174,bhakti_apdaptive staircase,,2025.1.1,None,2025-09-04 09h28.38.310489 +0530,
